unique_id,ds,NBEATS,NHITS
hotel_21,2023-07-27,0.95845205,0.955294
hotel_21,2023-07-28,0.9520043,0.9430584
hotel_28,2023-07-01,0.30467793,0.46515927
hotel_28,2023-07-02,0.1316481,0.34849733
hotel_28,2023-07-03,-0.00083595514,0.2982133
hotel_28,2023-07-04,-0.025936574,0.22669002
hotel_28,2023-07-05,-0.0156106055,0.1790647
hotel_28,2023-07-06,0.05355227,0.153566
hotel_28,2023-07-07,0.16705358,0.17567244
hotel_28,2023-07-08,0.010001391,0.071549326
hotel_28,2023-07-09,-0.06291142,0.018390581
hotel_28,2023-07-10,-0.009013295,0.045043357
hotel_28,2023-07-11,0.0034348369,0.029084459
hotel_28,2023-07-12,-0.024503052,0.042916857
hotel_28,2023-07-13,0.025538057,0.061024528
hotel_28,2023-07-14,0.1669119,0.07203975
hotel_28,2023-07-15,0.057049185,0.023722127
hotel_28,2023-07-16,-0.042259574,0.01186993
hotel_28,2023-07-17,-0.075633585,0.03476131
hotel_28,2023-07-18,-0.020890355,0.056391947
hotel_28,2023-07-19,-0.025845706,-0.019350715
hotel_28,2023-07-20,0.04645309,0.024178192
hotel_28,2023-07-21,0.13320634,0.10532099
hotel_28,2023-07-22,-0.00454095,0.04898589
hotel_28,2023-07-23,-0.037079126,-0.03171909
hotel_28,2023-07-24,-0.02360484,-0.029098071
hotel_28,2023-07-25,-0.13814941,0.034853622
hotel_28,2023-07-26,-0.036985874,0.042904697
hotel_28,2023-07-27,-0.011194825,0.031399302
hotel_28,2023-07-28,0.059639618,0.047455676
hotel_35,2023-07-01,0.6874887,0.6977584
hotel_35,2023-07-02,0.7087559,0.6938776
hotel_35,2023-07-03,0.7599748,0.7334584
hotel_35,2023-07-04,0.8041358,0.778641
hotel_35,2023-07-05,0.79256594,0.79045665
hotel_35,2023-07-06,0.8001966,0.75802267
hotel_35,2023-07-07,0.73980373,0.7083227
hotel_35,2023-07-08,0.6971256,0.7090298
hotel_35,2023-07-09,0.71310997,0.70559305
hotel_35,2023-07-10,0.7428341,0.7372373
hotel_35,2023-07-11,0.80193126,0.7772065
hotel_35,2023-07-12,0.80479866,0.779854
hotel_35,2023-07-13,0.8012484,0.7497717
hotel_35,2023-07-14,0.73807037,0.71580124
hotel_35,2023-07-15,0.6976873,0.7066073
hotel_35,2023-07-16,0.70201385,0.7126125
hotel_35,2023-07-17,0.75579417,0.73672336
hotel_35,2023-07-18,0.79696065,0.7724819
hotel_35,2023-07-19,0.7825356,0.77652884
hotel_35,2023-07-20,0.8049378,0.74169374
hotel_35,2023-07-21,0.7480548,0.70640767
hotel_35,2023-07-22,0.70663506,0.70420337
hotel_35,2023-07-23,0.7080673,0.7139915
hotel_35,2023-07-24,0.75312936,0.73626757
hotel_35,2023-07-25,0.7893957,0.7705676
hotel_35,2023-07-26,0.8038572,0.7792032
hotel_35,2023-07-27,0.7959056,0.75377953
hotel_35,2023-07-28,0.7501072,0.71636814
hotel_42,2023-07-01,0.87472236,0.79667145
hotel_42,2023-07-02,0.5156604,0.5988179
hotel_42,2023-07-03,0.6137549,0.63207877
hotel_42,2023-07-04,0.8075504,0.73092115
hotel_42,2023-07-05,0.73221564,0.8044626
hotel_42,2023-07-06,0.69232947,0.7640712
hotel_42,2023-07-07,0.82079434,0.7865666
hotel_42,2023-07-08,0.9165744,0.80030215
hotel_42,2023-07-09,0.5844378,0.63533664
hotel_42,2023-07-10,0.62988865,0.6422626
hotel_42,2023-07-11,0.8205499,0.7421432
hotel_42,2023-07-12,0.80100834,0.75620455
hotel_42,2023-07-13,0.6978762,0.7436325
hotel_42,2023-07-14,0.8539007,0.80401707
hotel_42,2023-07-15,0.89704835,0.79828954
hotel_42,2023-07-16,0.5499624,0.63341355
hotel_42,2023-07-17,0.63589716,0.6531796
hotel_42,2023-07-18,0.81426597,0.7491479
hotel_42,2023-07-19,0.7827738,0.77280784
hotel_42,2023-07-20,0.7042734,0.73477787
hotel_42,2023-07-21,0.83404833,0.8007843
hotel_42,2023-07-22,0.90635675,0.817518
hotel_42,2023-07-23,0.5540635,0.65579855
hotel_42,2023-07-24,0.5954318,0.642038
hotel_42,2023-07-25,0.83194375,0.7173249
hotel_42,2023-07-26,0.7852108,0.77433
hotel_42,2023-07-27,0.7294511,0.7490003
hotel_42,2023-07-28,0.8332957,0.8187963
hotel_49,2023-07-01,0.7006698,0.69299024
hotel_49,2023-07-02,0.629425,0.642956
hotel_49,2023-07-03,0.6289774,0.63201207
hotel_49,2023-07-04,0.6874198,0.6537072
hotel_49,2023-07-05,0.67069674,0.6628294
hotel_49,2023-07-06,0.6468233,0.6484288
hotel_49,2023-07-07,0.69511944,0.6694816
hotel_49,2023-07-08,0.7330101,0.6994037
hotel_49,2023-07-09,0.6505394,0.6588017
hotel_49,2023-07-10,0.63466346,0.63571495
hotel_49,2023-07-11,0.6890991,0.6538376
hotel_49,2023-07-12,0.6742564,0.6427616
hotel_49,2023-07-13,0.6312726,0.63815165
hotel_49,2023-07-14,0.6915148,0.6793244
hotel_49,2023-07-15,0.72154766,0.6962473
hotel_49,2023-07-16,0.6431593,0.65535474
hotel_49,2023-07-17,0.6168465,0.63341445
hotel_49,2023-07-18,0.6908918,0.64941907
hotel_49,2023-07-19,0.6700029,0.652597
hotel_49,2023-07-20,0.6387315,0.63083905
hotel_49,2023-07-21,0.7001033,0.67268527
hotel_49,2023-07-22,0.7101046,0.69905376
hotel_49,2023-07-23,0.6509755,0.65875125
hotel_49,2023-07-24,0.62400794,0.6385633
hotel_49,2023-07-25,0.6891689,0.6440934
hotel_49,2023-07-26,0.67733985,0.6523429
hotel_49,2023-07-27,0.64337915,0.6428683
hotel_49,2023-07-28,0.70126665,0.683473
hotel_56,2023-07-01,0.97093993,0.9691531
